title,published_at,NMF_topic,NMF_score
Swiss Exports to US Rebound With Trump Trade Deal in Limbo,2025-07-17 12:07:27,1,0.1299770957208
Former Michigan stars: Mike Williams retired after one day of training camp with Jim Harbaugh,2025-07-18 22:34:22,2,0.011194591767396385
"The New “Paratragouda”, the plans for Praktiker and the sharp-eyed Watsa, the Emiratis’ visit to the Maximos Mansion, and the buzz in the insurance sector ///",2025-07-17 12:05:46,2,0.030868206305589778
Stranger Things creators switch gears: A brooding new thriller heads to Netflix,2025-07-17 12:00:00,2,0.011051807069526486
Germany says it's 'unable to accept' EU mega budget,2025-07-17 11:56:34,1,0.046316651968986794
"Sources: the European Commission has stalled one of its X investigations for breaking its digital transparency rules, as it negotiates a trade deal with the US",2025-07-17 11:56:11,1,0.051976191254567095
"Trump says EU-US tariff deal 'possible', but he's 'indifferent to it'",2025-07-17 11:51:22,1,0.3194494800090895
Macroeconomic resilience leaves little room for Fed rate cut in 2025: Ed Yardeni,2025-07-17 11:47:23,1,0.009548482983396448
"Trade deal with India may have additional tariffs, suggests Trump",2025-07-17 11:39:01,1,0.14812771759959986
"India slips to 4th spot among favourite Asian stock market, shows BofA survey",2025-07-17 11:31:18,2,0.009752669894850942
"Russia rejects Trump’s ultimatum for 50-day ceasefire, insists on continued negotiations",2025-07-17 11:30:00,2,0.007208642116643577
"Trump: India trade deal 'very close', EU could follow",2025-07-17 11:15:46,1,0.12237950183876929
"India and Spain are like 'twin brothers', carriers of 2 ancient civilisations: MP CM Yadav",2025-07-17 11:11:22,1,0.0053715365880702085
"The way Indonesia deals with US, EU could set bad precedent for countries looking to forge similar deals",2025-07-17 10:52:00,1,0.03391092406825554
"The way Indonesia deals with US, EU could set bad precedent for countries looking to forge similar deals",2025-07-17 10:52:00,1,0.03391092406825554
Ukraine Leadership Reshuffle Seen Strengthening Trump Administration Ties,2025-07-17 10:43:08,1,0.050518603131016984
"Citi downgrades Indian equities to 'neutral' on lofty valuations, upgrades China, South Korea",2025-07-17 10:43:03,2,0.010091946010242395
Falcons’ Kyle Pitts faces uncertain future after troubling contract update,2025-07-17 10:41:32,2,0.025355759309043123
US Tariff Threat Raises Stakes For Europe As Trade War Fears Grow,2025-07-17 10:38:41,1,0.04138471484297179
"European markets on Thurs July 17: Stoxx 600, DAX, CAC, FTSE",2025-07-17 10:35:17,2,0.005523021197838634
"Bank of Ireland raises Irish economic growth estimates, with one big caveat",2025-07-17 10:30:01,1,0.003154222712322565
EU seems to suddenly discover it has leverage on Israel,2025-07-17 10:30:00,1,0.014886899225630412
Delay another day: why Britain can’t (yet) see America’s buzziest movies and TV shows,2025-07-17 10:30:00,2,0.00041316100723017213
Crude oil futures rise as US inventories decline,2025-07-17 10:23:31,2,0.0031571003509166477
Markets open flat as investors await US-India trade deal clarity,2025-07-17 10:12:35,1,0.059527017354405236
"Sources: the European Commission has stalled one of its X investigations for breaking its digital transparency rules, as it negotiates a trade deal with the US (Financial Times)",2025-07-17 10:05:00,1,0.051976191254567095
India seeks lower tariff than Indonesia in race for deal with US,2025-07-17 10:01:49,1,0.12571510793250637
Letters: Irish voices must continue to demand an end to the horror unfolding in Gaza,2025-07-17 10:00:00,1,0.003214078266053233
Latest On Marlins’ Deadline Plans,2025-07-17 09:57:13,2,0.15854056099989322
Rupee rises 12 paise to 85.80 against US dollar in early trade,2025-07-17 09:49:18,2,0.05118500564659523
Why Ongoing Alex Bregman Trade Rumors Make No Sense For Surging Red Sox,2025-07-17 17:04:01,2,0.1453556246481614
"NFL, NFLPA concealed another grievance ruling",2025-07-17 17:01:14,1,0.00073170165325186
"Bucks, Suns May Regret Their Lillard And Beal Waive-And-Stretch Gambits",2025-07-17 17:00:00,2,0.017050993993919614
How Will SLB Stock React To Its Upcoming Earnings?,2025-07-17 17:00:00,2,0.0026385870676191464
"Russia, Ukraine trade deadly drone attacks",2025-07-17 16:54:58,2,0.056000542885837175
Astros named favorites to land versatile A's infielder at trade deadline,2025-07-19 05:10:16,2,0.133374981354065
"Packers urged to make $21 million sacrifice, trade for Giants star defender",2025-07-19 05:03:54,2,0.1539808969433706
"EU fuels crude awakening for Nayara Energy, but Reliance feels the heat too",2025-07-19 05:00:00,1,0.009946760131046778
Curse Not the King,2025-07-19 04:58:19,3,1.1479668062198538e-27
weekend Favorites: 8 tiny steps to simplify your life + a 5-minute happiness hack,2025-07-19 04:57:05,1,0.0002617301781042077
Texas Rangers add veteran 1B Rowdy Tellez to their roster after All-Star break,2025-07-19 04:47:47,2,0.017302721258635512
Winnipeg Jets sign Gabriel Vilardi to $45M deal—blockbuster trade pays off after breakout NHL season,2025-07-19 04:43:10,2,0.054303463119565014
"Big setback for TikTok US deal, Blackstone drops out of consortium bid orchestrated by Donald Trump, claims report. What will happen now?",2025-07-19 04:42:37,1,0.003719400502705854
"Valanciunas 'excited' to be a Nugget, exec says",2025-07-19 04:36:03,1,0.04239818968510762
Pirates Reporter Shares Bleak Take on Paul Skenes Extension Chances,2025-07-19 04:35:30,2,0.01636600884380309
Ishiba and Bessent say 'good' trade agreement still possible,2025-07-19 04:35:00,2,0.06735003978194398
AI Arms Race Heats Up As Startups Borrow Billions To Buy Nvidia GPUs,2025-07-19 04:31:46,1,0.002485137567840602
Could Commanders Receive Trade Calls From Patriots?,2025-07-19 04:27:54,2,0.10187890631958264
Trump’s pivot to ‘trade not aid’ leaves African nations wary as they faces tariffs and uncertainty,2025-07-19 04:25:51,1,0.013677623220425612
Nuggets expect Jonas Valanciunas to be backup center amid speculation over NBA future,2025-07-19 04:11:46,2,0.019930905278179666
Luis Robert Jr. Trade? Why Latest Reds Trade Rumors Make Perfect Sense,2025-07-19 03:48:01,2,0.12177125873357844
Pitching plausibles,2025-07-19 03:45:00,3,5.0002920061450344e-33
Inside Trump’s Unsuccessful Attempt to End the Epstein News,2025-07-19 03:30:00,3,0.0027824716731274964
"Jets, Vilardi reach 6-year, $45 million extension",2025-07-19 03:24:59,2,0.08985571992726488
Wall Street closes a record-breaking week with a quiet finish,2025-07-19 03:06:58,2,0.00662897116270876
Block shares soar 10% on entry into S&P 500,2025-07-19 03:05:05,1,0.00043738718898938953
"S&P/TSX composite down at Friday’s close, U.S. markets mixed amid muted trading day",2025-07-19 02:42:20,2,0.02795209820006372
Venezuela frees 10 Americans in swap for deported migrants in El Salvador,2025-07-19 02:38:52,1,0.0004891716928746766
"Damian Lillard returns to Portland, Bradley Beal joins Clippers, LeBron is unhappy and Knicks under pressure",2025-07-19 02:35:50,2,0.037364493827148466
Kings GM Scott Perry issues two-word message to fans before 2025-26 NBA season,2025-07-19 02:34:23,2,0.012780943670471808
S&P 500 Gains & Losses Today: Netflix Stock Stumbles After Earnings; Invesco Soars,2025-07-19 02:33:28,1,0.005916648441408631
US Trade Representative Opens Section 301 Probe Into Brazil,2025-07-16 05:03:17,2,0.05487089723025695
Kyler Murray named MVP sleeper for 2025 after ‘quietly’ having one of his best seasons,2025-07-19 02:32:27,2,0.007873395605242575
"Taiwan will ‘not provoke confrontation’ with China, Vice President Hsiao says",2025-07-19 02:30:12,1,0.02898548360329976
U.S. Treasury chief sure of 'good' tariff deal with Japan: Ishiba,2025-07-19 02:16:37,1,0.08134605342844149
Far West Management Sells SoCal Harborfront Apartments for $62M,2025-07-19 02:13:11,2,0.0010154971551037345
Stocks Finish Slightly Lower on Mixed Earnings Results,2025-07-19 02:03:46,2,0.004344705039949602
Trading Day: Tariff cloud reappears over sunny Wall Street,2025-07-19 02:02:48,1,0.027500989189278333
"Astros' Top Prospect Projected To Sign 8-Year, $80 Million Contract Extension",2025-07-19 01:58:22,2,0.101022699949193
"Putin, Trump and Xi could meet in September – The Times",2025-07-19 01:52:33,1,0.0592587650884257
Crypto market soars past $4 trillion and Coinbase notches record—but traditional stocks flatline,2025-07-19 01:41:19,1,0.004969562495285479
NBA analyst raves about idea of LeBron James joining Mavericks,2025-07-19 01:36:42,2,0.036451889492877
"Stock market today: Nasdaq hits record, S&P 500 posts weekly gain, Dow slips as Wall Street shrugs off tariff tensions",2025-07-19 01:30:36,1,0.02639155379236582
Anthony Albanese isn't doing diplomacy with China by halves,2025-07-19 01:30:00,2,0.008194599964914175
Multiplatform Matrix Multiplication Kernels,2025-07-19 01:29:49,3,6.889315598330665e-33
New Zealand First's Cash Transactions Protection Bill - What it is and what it could do,2025-07-19 01:20:48,2,0.015380253352922032
"Five worst NBA offseason moves: Bucks ditch Dame, Suns bounce Beal, Blazers take very expensive Holiday",2025-07-19 01:11:19,2,0.01716581153693227
Alcoa CEO Says Trump Tariffs Force a Pause for Canada Growth Projects,2025-07-19 01:10:40,1,0.09296127739251725
What previously hidden briefs tell us about challenges facing government,2025-07-19 01:08:21,2,0.004631437079429919
Dollar Weakens as a Fed Official Calls for Rate Cuts,2025-07-19 01:06:22,1,0.022089343567062828
Alcoa CEO says Trump tariffs force a pause for Canada growth projects,2025-07-19 01:04:42,1,0.09296127739251725
Alcoa CEO Says Trump Tariffs Force a Pause for Canada Growth Projects,2025-07-19 01:04:42,1,0.09296127739251725
"Division Races, Record Chases, MVP Battles: MLB's Biggest Second-Half Storylines",2025-07-19 01:04:13,2,0.0023914354163912166
"India-US Trade Talks: Fifth Round Of Negotiations Conclude In Washington, Outcome Awaited",2025-07-19 01:03:52,2,0.0630939979016897
"'Japan, US can reach a good trade deal'",2025-07-19 00:58:33,2,0.08574755738355062
Trump plans double blow to industries and countries as August 1 tariff deadline approaches,2025-07-19 00:44:06,1,0.057597429411735575
"Loons at Portland Timbers: Keys to the match, storylines and a prediction",2025-07-19 00:44:00,2,0.004438377921447671
7 Top Performing Dividend Stocks Of 2025 So Far,2025-07-19 00:39:17,1,0.0032445254516062804
"China Market Update: Hong Kong Higher, Regulators Comment On Instant Commerce, Week In Review",2025-07-19 00:34:43,2,0.008340601681324254
"Bond markets in Japan and the US are flashing red, exposing Australia's superannuation sector",2025-07-19 00:30:00,1,0.0259569286061307
LeBron James Mavericks trade rumors percolating as sportsbook upgrades trade odds,2025-07-19 00:30:00,2,0.14049149374839764
New York Mets analysts detail likely cost in blockbuster trades for Eugenio Suarez or Corey Seager,2025-07-19 00:28:08,2,0.04465383680688294
Lakers Add Guard? Chris Paul-Suns Reunion? Best Fits for NBA Free Agents,2025-07-19 00:25:02,2,0.0337448989812559
NFL trade buzz: Dolphins could ship $90M star Tyreek Hill to Chargers in shocking deal,2025-07-19 00:07:48,2,0.05586498938562228
Mets Adding On? Why Latest Trade Rumors Make Perfect Sense For New York,2025-07-18 23:56:23,2,0.1520384830478109
"What a Trump, Powell faceoff means for your money",2025-07-18 23:52:36,2,0.001790039994585267
PM Modi expected in UK on July 23-24 for FTA signing,2025-07-18 23:48:03,2,0.012273108779368398
Wells Fargo Suspends Travel to China After Communist Regime Blocks Top Banker from Leaving,2025-07-18 23:43:24,2,0.005060043274979392
New EU sanctions on Russia 'unprecedented',2025-07-18 23:38:00,1,0.03046989955197781
Pokémon: Legends Z-A Shouldn't Sleep On These 10 Iconic Mega Evolutions,2025-07-18 23:30:20,1,0.000535073081615892
"If AUKUS Is Toast, What Should Australia Do Next?",2025-07-18 23:30:04,3,0.0003005548243461541
Germany's Top Performing Smallcap Surges Again,2025-07-18 23:30:00,1,5.0340922139777626e-05
"NBA power rankings 2025-26: Where do teams stand after NBA offseason? Rockets, Nuggets chase Thunder at top",2025-07-18 23:28:48,2,0.012846495124591715
Donald Trump pushes for 15%-20% minimum tariff on all EU goods,2025-07-18 23:27:59,1,0.1010946975693402
Celtics trade pitch sends Anfernee Simons to Western Conference contender for key depth,2025-07-18 23:22:59,2,0.06029919527341008
Mikal Bridges extension decision still in limbo,2025-07-18 23:14:36,2,0.05582811101483516
LeBron James' NBA Future Gets Major Update Amid Lakers Drama,2025-07-18 23:14:05,2,0.06067787833734742
How Israel’s energy diplomacy is fueling the Gaza genocide,2025-07-18 23:13:00,1,0.002291014227308628
The OnePlus 12 was already our favorite Android deal - and now it's $300 off,2025-07-18 23:12:49,1,0.056324684166144945
The Supreme Court and Trump Are Playing Chicken Over Jerome Powell. SCOTUS Will Lose.,2025-07-18 22:54:53,1,0.04336289651576726
Tariff exemptions cover 99 percent of US imports,2025-07-18 22:45:53,1,0.047476795047020764
Trump pushes for 15-20% minimum tariffs on European Union: FT,2025-07-18 22:30:54,1,0.07302073840804904
Chiefs' Patrick Mahomes makes Mavericks admission after Luka Doncic trade,2025-07-18 22:27:52,2,0.06640011182851246
"Trump’s tariff pressure pushes Asia toward American LNG, but at the cost of climate goals",2025-07-18 22:22:55,1,0.02822588810389337
Mavericks-Lakers trade pitch sends LeBron James to Dallas in deal involving eight players,2025-07-18 22:22:07,2,0.08384484627151148
Mavericks not considered top landing spot for Lakers' LeBron James,2025-07-18 22:19:50,2,0.04451405507095564
Analysts revamp Alphabet stock price target before key earnings,2025-07-18 22:17:00,2,0.013511102589389984
A night-watchman ASI as a first step toward a great future,2025-07-18 22:10:20,2,0.003926541194221472
Decoding hints that Xi Jinping may be under pressure to relinquish some of his power,2025-07-18 22:09:01,1,0.0030186641391895183
Men deported by US to Eswatini in Africa will be held in solitary confinement for undetermined time,2025-07-18 22:06:40,1,0.0021025212717577435
China Pressures American Firms to Meddle in Trade Talks on Its Behalf,2025-07-18 22:01:28,2,0.06344193172079036
How Does Damian Lillard Fit Into This Version Of The Trail Blazers,2025-07-18 22:01:00,2,0.034240729456478255
Blockbuster Yankees Trade Prediction Brings Notorious Yankee Killer to Bronx,2025-07-18 21:59:56,2,0.08098213914358822
Report: Jonathan Kuminga's representation explored Warriors-Bulls trade options (79),2025-07-18 21:55:31,2,0.05945735979292715
Beware of the bazooka!,2025-07-18 21:52:01,3,3.660679498687025e-33
FCC criticised for coddling T-Mobile and endangering rural dynamics,2025-07-18 21:48:25,3,8.192152129233844e-33
Victor Davis Hanson: The World Woke Up,2025-07-18 21:46:17,2,0.003252804185461257
Brazil slams NATO’s Russia sanctions threats,2025-07-18 21:43:28,2,0.008981605236296873
Tottenham hijack PSG transfer with stunning offer: report,2025-07-18 21:42:12,2,0.02298760150263101
Get a $200 Gift Card and Double the Storage When You Preorder the Hot New Samsung Galaxy Z Flip 7 From Amazon Right Now,2025-07-18 21:34:00,2,0.011504395302830817
The 2025 Replacement-Level Killers: Designated Hitter,2025-07-18 21:30:32,3,5.0002920061450344e-33
T-Mobile Tempts Customers With Free DashPass and $4 Million Football Prizes,2025-07-18 21:30:00,2,0.049435295342262535
Don’t buy the Galaxy A56 in the US until you see this S24 FE deal,2025-07-18 21:15:16,1,0.06197195914969219
"Donald Trump’s tariffs are pulling in billions, but is it really a win?",2025-07-18 21:11:40,1,0.020484841531826562
"Japan’s exports fall for second straight month with no U.S. trade deal in sight, raising recession fears",2025-07-17 05:28:58,1,0.04943651767715256
Mariners predicted to trade for 2 sluggers before deadline to bolster lineup with home run pop,2025-07-17 05:19:49,2,0.12409001990085472
"Dollar Weakens, Stocks Climb on Trump-Powell Saga: Markets Wrap",2025-07-17 05:16:51,1,0.012499066766413118
Yankees predicted to trade for former No. 1 overall prospect in lieu of Eugenio Suarez,2025-07-17 05:14:51,2,0.10630896025693912
"Cubs predicted to trade for 31-homer slugger, superstar closer in MLB deadline blockbusters",2025-07-17 05:10:55,2,0.19527827826233862
"Trump says India trade agreement is close, Europe deal possible",2025-07-17 05:09:22,1,0.1854419577487735
Why the Golden State Warriors' projected 2025-26 roster sparks outrage on social media,2025-07-17 05:01:53,2,0.005671967650085623
This Dividend Stock Has Doubled in 2025. Is It Still a Buy?,2025-07-17 05:00:02,2,0.0034338552049698566
Mini US trade deal likely as genetically modified door ajar,2025-07-17 05:00:00,1,0.0515805999336907
The Suns turned a superteam into a costly cautionary tale,2025-07-17 04:54:16,2,0.002452446651364134
"Astros Should Look to Upgrade Middle Infield, Cut Ties With Brendan Rodgers",2025-07-17 04:45:01,2,0.030775977920483363
Carney confirms possibility of lumber quotas in trade deal with the United States,2025-07-17 04:43:29,1,0.054405652543914045
Trump Eyes Tariff Rate of 10% or 15% for More Than 150 Countries,2025-07-17 04:41:05,1,0.11822315143388848
Maple Leafs accused of ‘significant malpractice’ after losing Mitch Marner to Vegas in lopsided sign-and-trade deal,2025-07-17 04:40:18,1,0.035169416542943414
LeBron James stays put: Lakers shut down trade rumors once and for all,2025-07-17 04:27:01,2,0.11197101392226087
Mets 3-for-1 trade proposal brings $123 million All-Star to Queens,2025-07-17 04:26:26,2,0.13471174674776468
Bruce Zimmermann Opts Out Of Brewers Deal,2025-07-17 04:12:30,1,0.048396026301447445
Japan’s $6.8 Trillion Stock Market Faces Reckoning in Elections,2025-07-17 04:02:01,1,0.005854402691264594
Pro-Israel Advocate Avi Abelow: “End U.S. Aid for Israel!”,2025-07-17 03:50:53,1,0.001366631469446611
Merz visits UK as Europe closes ranks in face of threats,2025-07-17 03:35:00,1,0.012609607052007029
UK and Germany to Pledge to Defend Each Other in Reset of Ties,2025-07-17 03:24:43,2,0.011621279080188928
Mavericks reportedly not interested in trading for LeBron James,2025-07-17 03:11:15,2,0.05894289466994963
Man United weighing up shock swap deal involving Garnacho and Chelsea star,2025-07-17 03:10:00,1,0.033115544946223076
Republican Confidence in Higher Education Jumps as Trump Admin Cracks Down,2025-07-17 03:08:36,1,0.03947695885530171
Trump suggests trade deal with Japan by Aug 1 deadline will be difficult,2025-07-17 03:07:46,1,0.1361909243962579
S&P 500 Gains & Losses Today: Johnson & Johnson Stock Jumps; Universal Health Services Shares Slide,2025-07-17 03:05:50,1,0.005044124081048692
"Boston Celtics ""never really"" planned on trading two key stars",2025-07-17 02:07:29,2,0.02143236192217398
Inside OpenAI’s Slack-driven evolution — engineer reveals secrets behind its meteoric rise and chaotic brilliance,2025-07-17 03:05:20,2,0.006130137186442986
Canada to Curb Steel Imports to Soften Blow From US Tariffs,2025-07-17 03:05:19,1,0.02583039538732961
Lakers' LeBron James Facing New Retirement Report Amid Rumors,2025-07-17 02:58:15,2,0.08992830125979061
Samsung Certified Re-Newed Unlocked Phone Deal w/ Trade In (Minimum $300 credit w/ Eligible Trade-Ins) on various models. Shipping is free. (12 replies),2025-07-17 02:52:48,1,0.04521321922647439
Wall Street Is Rattled As Trump Muses About Firing Powell But Is 'Unlikely' To Do It,2025-07-17 02:41:21,1,0.051889892836602246
Why Bradley Beal and the Clippers needed each other after veteran flamed out with Suns,2025-07-17 02:37:53,2,0.014129500951437512
There's a potential solution to Shemar Stewart's contract drama with Bengals,2025-07-17 02:33:57,2,0.04001043073419716
Wall Street is rattled as Trump says he discussed firing Powell but is 'unlikely' to do it,2025-07-17 02:30:40,1,0.07784150996936325
Trump’s ultimatum isn’t an ultimatum – and Moscow knows it,2025-07-17 02:29:37,1,0.0015801755755241972
Stocks End Higher Despite Uncertainty About Possible Powell Firing,2025-07-17 02:27:46,2,0.011286014958859619
Trump says he ‘talked about the concept of firing’ Jerome Powell. Stocks went for a ride,2025-07-17 02:24:34,1,0.07679002638746688
"NVIDIA’s H20 AI Chip Ban Was Reportedly Lifted to Counter Huawei’s Rising Influence in China and Beyond, Threatening U.S. Dominance",2025-07-17 02:09:11,2,0.01983600185320621
Cubs Offseason Addition Doesn't Advance Extension Talks In Recent Comments,2025-07-17 02:00:08,2,0.03417199552665054
Russia’s Recognition Could Bolster Taliban Regime,2025-07-17 01:42:59,2,0.003080120275160612
Clippers land 3-time All-Star Bradley Beal in stunning post-buyout move from Suns: report,2025-07-17 01:28:26,2,0.04489879579310321
Mavericks make bold decision on possible LeBron James trade,2025-07-17 01:28:12,2,0.13599673407684612
Cubs should target blockbuster trade for Twins All-Star starting pitcher,2025-07-17 01:26:17,2,0.1275905277380546
Trade Deadline Outlook: Arizona Diamondbacks,2025-07-17 01:22:55,2,0.18424956155263544
"Faced with geopolitics and trade war, US companies in China report record-low new investment plans",2025-07-17 01:20:21,2,0.11597912300996269
"Coffee Tariff Updates On Brazil, Indonesia and China",2025-07-17 01:20:21,1,0.08008986157457372
What we should make of Trump's surprising pivot on Ukraine,2025-07-17 01:13:09,2,0.03499327413935713
Not a joke — deported to where?! US sends immigrants from Cuba and Jamaica to African Nation Eswatini,2025-07-17 01:04:04,2,0.008086798995164157
Trump Embraces State Capitalism,2025-07-17 01:00:43,1,0.06176783688504864
You can save $150 on the OnePlus 13 at Amazon right now - but there's a catch,2025-07-17 01:00:14,2,0.0056148363851315965
Popular AI stock tanks after surprise tariff hit,2025-07-16 23:17:00,1,0.02787410477294534
Experts Reveal Lakers’ Definitive Stance on LeBron James Trade,2025-07-17 01:00:00,2,0.09130108440660485
Knicks face significant second apron decisions for 2026-27 NBA season,2025-07-17 00:58:00,2,0.018466025667539597
Prologis Reports Another Strong Quarter as Tariff Uncertainty Lingers,2025-07-17 00:56:09,1,0.02405439280784433
Red Sox's $21 Million Pitcher Listed As Potential Trade Chip Ahead Of Deadline,2025-07-17 00:53:01,2,0.2406030644503783
"Tariffs, Deals And Breakup Rumors Are Heating Up The Food Industry",2025-07-17 00:51:45,2,0.04179826001542259
Agent's Take: Breaking down exactly why Bengals' Shemar Stewart remains only unsigned 2025 first-round pick,2025-07-17 00:45:56,2,0.007729997669550592
Got buyer's remorse with your 8GB graphics card? Nvidia's AI texture compression promises huge benefits for GPUs with stingy amounts of memory,2025-07-17 00:45:00,2,0.002439316650786867
